Company Name,Website,Email Domain,Industry,Sub-Industry,Employee Count,Revenue,Region,HQ Location,Solution Interest,Lead Source,Contact Role/Title,Tech Stack Signals,Annual Board Meetings,Compliance Certifications,Intent Score,Last Marketing Touch,Lead Owner,Parent Company,Account Tier,SFDC Account ID,Status
LexCorp_0,lexcorp_0.net,lexcorp_0.com,Financial Services,Higher Ed,approx 800,€20M,EMEA,"San Francisco, USA",Risk,Web,Board Secretary,"Salesforce, Workday",,"PCI DSS, GDPR",48,2025-03-04,TBD,,SMB,1186826.0,Won
Axiom Space_1,axiomspace_1.co,axiomspace_1.com,Financial Services,Biotech,200-500,5000000,EMEA,NY,Risk,Referral,General Counsel,,3-4,ISO27001,,"April 04, 2025",TBD,,Enterprise,,Won
Clampett Oil_2,clampettoil_2.io,clampettoil_2.co,Non-Profit,Fin Serv,,$20M,APAC,Unknown,Compliance,Purchased,IT Director,"Databricks, Google Workspace, Pardot",,ISO27001,48,"March 01, 2025",TBD,Clampett Holdings,Tier 1,1311306.0,Won
Wonka Tech_3,wonkatech_3.io,wonkatech_3.co,Education,Biotech,,€20M,Unknown,"Toronto, CA",Compliance,Event,Legal Counsel,ServiceNow; Okta,unknown,"HIPAA, ISO27001",85,2025-04-26,Jane Doe,—,Tier 2,1299495.0,Open
Oceanic Airlines_4,oceanicairlines_4.net,oceanicairlines_4.co,Technology,Insurance,50-200,,Unknown,"Austin, USA",Boards,Partner,Director of Security,"Databricks, Eloqua, HubSpot",4,GDPR,,05/16/25,TBD,—,,1671855.0,Open
Atlantic Holdings_5,atlanticholdings_5.co,atlanticholdings_5.co,Retail,Law Firm,five hundred,$100M,EMEA,"Dubai, AE",Compliance,Inbound,IT Director,,8,ISO27001,55,02/25/25,Alex Lee,Atlantic Holdings,SMB,1105597.0,Lost
Tricell Pharma_6,tricellpharma_6.io,tricellpharma_6.io,Education,Industrial,,USD 250M,EMEA,"San Francisco, USA",Boards,Partner,IT Director,Google Workspace | ,6,"ISO27001, PCI DSS, GDPR",,12/31/24,Alex Lee,Global Holdings Ltd,,1151225.0,Won
Paper Street Co_7,paperstreetco_7.com,paperstreetco_7.net,Financial Services,Utilities,50-200,5000000,DACH,"Dublin, IE",Audit,Referral,Audit Manager,Oracle,4,,5,"January 19, 2025",Priya Patel,—,A,1287439.0,Won
Wonka Industries_8,wonkaindustries_8.com,wonkaindustries_8.com,Retail,Financials,200-500,,Unknown,"Austin, USA",Risk,Purchased,CFO,Oracle | Teams | Google Workspace,0,ISO27001,73,"June 16, 2025",—,Global Holdings Ltd,C,1623337.0,Lost
Axiom Space_9,http://axiomspace_9.io,axiomspace_9.co,Healthcare,Financials,,5000000,AMS,"Paris, FR",Audit,Event,CIO,"Oracle, Databricks, Workday",>5,,medium,03/29/25,Chen Wu,,Tier 2,1260726.0,Open
Kronos Group_10,kronosgroup_10.com,kronosgroup_10.io,Manufacturing,Financials,200-500,$20M,FR,"San Francisco, USA",Compliance,Referral,CFO,,>5,PCI DSS,85,2025-08-19,Test User,,C,1523333.0,Won
Cyberdyne Systems_11,cyberdynesystems_11.io,cyberdynesystems_11.com,Non-Profit,Banking,five hundred,USD 250M,FR,"Dublin, IE",Audit,Event,General Counsel,SFDC; Databricks; Salesforce; Netsuite,5,,5,2025-02-09,Test User,—,Enterprise,1509424.0,Lost
Cyberdyne Systems_12,cyberdynesystems_12.io,cyberdynesystems_12.co,Energy,Fin Serv,50-200,5000000,EMEA,"Paris, FR",Compliance,Partner,Legal Counsel,Teams | Google Workspace | Workday | Oracle,5,PCI DSS,32,"March 29, 2025",TBD,Cyberdyne Holdings,Tier 2,1359530.0,Lost
Virtucon_13,virtucon_13.net,virtucon_13.io,Energy,Insurance,five hundred,USD 250M,APAC,"New York, USA",Boards,Purchased,VP Finance,Workday | Google Workspace | Oracle,1,,,03/03/25,,—,SMB,1697253.0,Lost
Hooli_14,hooli_14.com,hooli_14.com,Healthcare,Fin Serv,1000+,,FR,"Berlin, DE",Compliance,Purchased,Legal Counsel,Snowflake,,SOX,17,04/03/25,Test User,,Tier 1,1396782.0,Lost
Caprica Systems_15,capricasystems_15.io,capricasystems_15.io,Energy,Industrial,,"20,000,000 USD",EMEA,"Dubai, AE",Audit,Inbound,VP Finance,,>5,GDPR,55,2025-05-19,John Smith,—,Enterprise,1905391.0,Open
Shinra Electric_16,shinraelectric_16.io,shinraelectric_16.com,Legal,Banking,,unknown,UKI,"Toronto, CA",Boards,Referral,Director of Security,Azure AD,3-4,"HIPAA, SOX, ISO27001",95%,"May 20, 2025",Priya Patel,Global Holdings Ltd,Tier 2,1156331.0,Open
Monarch Solutions_17,https://www.monarchsolutions_17.com,monarchsolutions_17.net,Energy,NGO,50-200,$100M,EMEA,"San Francisco, USA",Boards,Web,CFO,"ServiceNow, Snowflake, Databricks",unknown,SOX,100,2025-03-27,—,Global Holdings Ltd,MM,1100024.0,Open
Omni Consumer Products_18,omniconsumerproducts_18.net,omniconsumerproducts_18.com,Government,Pharma,500 to 1000,$20M,DACH,"London, UK",Compliance,Referral,Head of Compliance,"Databricks, SFDC, Okta",>5,,,12/31/24,TBD,—,,1556664.0,Won
Oscorp_19,oscorp_19.io,oscorp_19.io,Financial Services,Insurance,"500-1,000",,FR,,Compliance,Purchased,Board Secretary,Teams,8,PCI DSS,5,01/18/25,Chen Wu,—,SMB,1224397.0,Lost
