Company Name,Website,Email Domain,Industry,Sub-Industry,Employee Count,Revenue,Region,HQ Location,Solution Interest,Lead Source,Contact Role/Title,Tech Stack Signals,Annual Board Meetings,Compliance Certifications,Intent Score,Last Marketing Touch,Lead Owner,Parent Company,Account Tier,SFDC Account ID,Status,Employee_Count_Clean,Revenue_Clean,Region_Clean,Last_Marketing_Touch_Clean,Website_Clean,Tech_Stack_Clean,SFDC_Account_ID_Clean,Lead_Owner_Clean,Intent_Score_Clean,Firmographic_Score,Solution_Fit_Score,Intent_Signals_Score,Tech_Compliance_Score,Total_ICP_Score,ICP_Archetype,Priority_Tier
Luthor Enterprises_528,luthorenterprises_528.com,luthorenterprises_528.com,Financial Services,NGO,"500-1,000",USD 250M,EMEA,"Dublin, IE",Risk,Inbound,General Counsel,Salesforce,3,"SOX, GDPR",85,2025-02-23,Alex Lee,—,Tier 2,1484872.0,Won,"500-1,000",$250M,EMEA,2025-02-23,luthorenterprises_528.com,Salesforce,1484872.0,Alex Lee,85.0,37,25,13,15,90,Enterprise_Risk_Management,Critical
Clampett Oil_889,clampettoil_889.co,clampettoil_889.net,Financial Services,Fin Serv,1000+,USD 250M,MDO,"San Francisco, USA",Risk,Partner,Board Secretary,Netsuite | SAP | O365,3-4,PCI DSS,85,04/23/25,Chen Wu,,,1184058.0,Won,1000+,$250M,MEA,2025-04-23,clampettoil_889.co,"Netsuite, Sap, O365",1184058.0,Chen Wu,85.0,40,25,13,10,88,Enterprise_Risk_Management,Critical
Zorg Industries_230,zorgindustries_230.com,zorgindustries_230.io,Education,Fin Serv,1000+,$1B,UKI,"Dubai, AE",Risk,Web,Legal Counsel,"Netsuite, Pardot, Workday",5,"GDPR, ISO27001",85,"May 27, 2025",—,Zorg Holdings,MM,1811200.0,Won,1000+,$1000M,UK & Ireland,2025-05-27,zorgindustries_230.com,"Netsuite, Pardot, Workday",1811200.0,—,85.0,33,25,14,15,87,Enterprise_Risk_Management,Critical
Shinra Electric_242,https://www.shinraelectric_242.net,shinraelectric_242.co,Energy,Insurance,1000+,$1B,UKI,"London, UK",Risk,Inbound,Director of Security,Google Workspace; ServiceNow; Pardot; Databricks,4,"ISO27001, HIPAA, PCI DSS",48,"June 15, 2025",TBD,Private Equity HoldCo,Enterprise,1100031.0,Lost,1000+,$1000M,UK & Ireland,2025-06-15,shinraelectric_242.net,"Google Workspace, Servicenow, Pardot, Databricks",1100031.0,Unassigned,48.0,40,22,9,15,86,Enterprise_Risk_Management,Critical
Wonka Tech_653,wonkatech_653.com,wonkatech_653.net,Energy,Semiconductors,"500-1,000",$1B,AMS,Unknown,Compliance,Event,IT Director,SAP | Oracle | Workday | ServiceNow,3-4,"GDPR, None, PCI DSS",85,03/02/25,—,Global Holdings Ltd,Enterprise,1926482.0,Won,"500-1,000",$1000M,Americas,2025-03-02,wonkatech_653.com,"Sap, Oracle, Workday, Servicenow",1926482.0,—,85.0,37,19,15,15,86,Enterprise_Risk_Management,Critical
Sterling Cooper_547,sterlingcooper_547.io,sterlingcooper_547.io,Manufacturing,Utilities,1000+,USD 250M,MDO,Unknown,Boards,Event,Board Secretary,Okta; Teams; SAP,,"ISO27001, GDPR",32,"August 04, 2025",Priya Patel,,Enterprise,1253947.0,Lost,1000+,$250M,MEA,2025-08-04,sterlingcooper_547.io,"Okta, Teams, Sap",1253947.0,Priya Patel,32.0,40,20,10,15,85,Board_Governance,Critical
Stark Industries_740,starkindustries_740.com,starkindustries_740.net,Financial Services,K-12,five hundred,$100M,AMS,Unknown,Boards,Referral,Board Secretary,ServiceNow; HubSpot; Netsuite; ,8,"GDPR, ISO27001, HIPAA",92,2025-06-14,TBD,Global Holdings Ltd,A,1100416.0,Lost,"500-1,000",$100M,Americas,2025-06-14,starkindustries_740.com,"Servicenow, Hubspot, Netsuite",1100416.0,Unassigned,92.0,34,20,16,15,85,Board_Governance,Critical
Tricell Pharma_959,tricellpharma_959.co,tricellpharma_959.io,Financial Services,Semiconductors,1000+,$100M,MDO,"Dubai, AE",Risk,Event,Director of Security,Netsuite; Salesforce; Marketo; Teams,five,"PCI DSS, GDPR",48,03/03/25,,—,B,1677115.0,Open,1000+,$100M,MEA,2025-03-03,tricellpharma_959.co,"Netsuite, Salesforce, Marketo, Teams",1677115.0,Unassigned,48.0,37,22,11,15,85,Enterprise_Risk_Management,Critical
Pied Piper_125,piedpiper_125.io,piedpiper_125.net,Financial Services,Insurance,1000+,$1B,FR,Unknown,Risk,Web,Board Secretary,Google Workspace; Okta; Workday,3,"SOX, ISO27001, PCI DSS",medium,"March 29, 2025",TBD,Pied Holdings,Enterprise,1655858.0,Lost,1000+,$1000M,France,2025-03-29,piedpiper_125.io,"Google Workspace, Okta, Workday",1655858.0,Unassigned,,40,25,4,15,84,Enterprise_Risk_Management,Critical
LexCorp_156,http://lexcorp_156.com,lexcorp_156.io,Financial Services,Pharma,1000+,$100M,UKI,"Berlin, DE",Risk,Inbound,CFO,SFDC | Eloqua | Okta,4,"GDPR, HIPAA, PCI DSS",32,08/24/25,Priya Patel,Private Equity HoldCo,Tier 1,1383982.0,Open,1000+,$100M,UK & Ireland,2025-08-24,lexcorp_156.com,"Sfdc, Eloqua, Okta",1383982.0,Priya Patel,32.0,37,22,10,15,84,Enterprise_Risk_Management,Critical
