Company Name,Website,Email Domain,Industry,Sub-Industry,Employee Count,Revenue,Region,HQ Location,Solution Interest,Lead Source,Contact Role/Title,Tech Stack Signals,Annual Board Meetings,Compliance Certifications,Intent Score,Last Marketing Touch,Lead Owner,Parent Company,Account Tier,SFDC Account ID,Status,Employee_Count_Clean,Revenue_Clean,Region_Clean,Last_Marketing_Touch_Clean,Website_Clean,Tech_Stack_Clean,SFDC_Account_ID_Clean,Lead_Owner_Clean,Intent_Score_Clean,Firmographic_Score,Solution_Fit_Score,Intent_Signals_Score,Tech_Compliance_Score,Total_ICP_Score,ICP_Archetype,Priority_Tier
LexCorp_0,lexcorp_0.net,lexcorp_0.com,Financial Services,Higher Ed,approx 800,€20M,EMEA,"San Francisco, USA",Risk,Web,Board Secretary,"Salesforce, Workday",,"PCI DSS, GDPR",48,2025-03-04,TBD,,SMB,1186826.0,Won,"500-1,000",$20M,EMEA,2025-03-04,lexcorp_0.net,"Salesforce, Workday",1186826.0,Unassigned,48.0,30,25,10,15,80,Enterprise_Risk_Management,High
Axiom Space_1,axiomspace_1.co,axiomspace_1.com,Financial Services,Biotech,200-500,5000000,EMEA,NY,Risk,Referral,General Counsel,,3-4,ISO27001,,"April 04, 2025",TBD,,Enterprise,,Won,200-500,$5M,EMEA,2025-04-04,axiomspace_1.co,,Missing,Unassigned,,24,25,6,7,62,Mid_Market_Compliance,High
Clampett Oil_2,clampettoil_2.io,clampettoil_2.co,Non-Profit,Fin Serv,,$20M,APAC,Unknown,Compliance,Purchased,IT Director,"Databricks, Google Workspace, Pardot",,ISO27001,48,"March 01, 2025",TBD,Clampett Holdings,Tier 1,1311306.0,Won,Unknown,$20M,APAC,2025-03-01,clampettoil_2.io,"Databricks, Google Workspace, Pardot",1311306.0,Unassigned,48.0,11,19,9,12,51,Mid_Market_Compliance,Medium
Wonka Tech_3,wonkatech_3.io,wonkatech_3.co,Education,Biotech,,€20M,Unknown,"Toronto, CA",Compliance,Event,Legal Counsel,ServiceNow; Okta,unknown,"HIPAA, ISO27001",85,2025-04-26,Jane Doe,—,Tier 2,1299495.0,Open,Unknown,$20M,Unknown,2025-04-26,wonkatech_3.io,"Servicenow, Okta",1299495.0,Jane Doe,85.0,11,22,15,15,63,Mid_Market_Compliance,High
Oceanic Airlines_4,oceanicairlines_4.net,oceanicairlines_4.co,Technology,Insurance,50-200,,Unknown,"Austin, USA",Boards,Partner,Director of Security,"Databricks, Eloqua, HubSpot",4,GDPR,,05/16/25,TBD,—,,1671855.0,Open,50-200,Unknown,Unknown,2025-05-16,oceanicairlines_4.net,"Databricks, Eloqua, Hubspot",1671855.0,Unassigned,,12,17,3,10,42,Board_Governance,Medium
Atlantic Holdings_5,atlanticholdings_5.co,atlanticholdings_5.co,Retail,Law Firm,five hundred,$100M,EMEA,"Dubai, AE",Compliance,Inbound,IT Director,,8,ISO27001,55,02/25/25,Alex Lee,Atlantic Holdings,SMB,1105597.0,Lost,"500-1,000",$100M,EMEA,2025-02-25,atlanticholdings_5.co,,1105597.0,Alex Lee,55.0,27,19,9,7,62,Mid_Market_Compliance,High
Tricell Pharma_6,tricellpharma_6.io,tricellpharma_6.io,Education,Industrial,,USD 250M,EMEA,"San Francisco, USA",Boards,Partner,IT Director,Google Workspace | ,6,"ISO27001, PCI DSS, GDPR",,12/31/24,Alex Lee,Global Holdings Ltd,,1151225.0,Won,Unknown,$250M,EMEA,2024-12-31,tricellpharma_6.io,Google Workspace,1151225.0,Alex Lee,,18,17,3,10,48,Board_Governance,Medium
Paper Street Co_7,paperstreetco_7.com,paperstreetco_7.net,Financial Services,Utilities,50-200,5000000,DACH,"Dublin, IE",Audit,Referral,Audit Manager,Oracle,4,,5,"January 19, 2025",Priya Patel,—,A,1287439.0,Won,50-200,$5M,DACH,2025-01-19,paperstreetco_7.com,Oracle,1287439.0,Priya Patel,5.0,19,8,9,3,39,Other,Low
Wonka Industries_8,wonkaindustries_8.com,wonkaindustries_8.com,Retail,Financials,200-500,,Unknown,"Austin, USA",Risk,Purchased,CFO,Oracle | Teams | Google Workspace,0,ISO27001,73,"June 16, 2025",—,Global Holdings Ltd,C,1623337.0,Lost,200-500,Unknown,Unknown,2025-06-16,wonkaindustries_8.com,"Oracle, Teams, Google Workspace",1623337.0,—,73.0,13,22,13,10,58,Other,Medium
Axiom Space_9,http://axiomspace_9.io,axiomspace_9.co,Healthcare,Financials,,5000000,AMS,"Paris, FR",Audit,Event,CIO,"Oracle, Databricks, Workday",>5,,medium,03/29/25,Chen Wu,,Tier 2,1260726.0,Open,Unknown,$5M,Americas,2025-03-29,axiomspace_9.io,"Oracle, Databricks, Workday",1260726.0,Chen Wu,,14,8,5,8,35,Other,Low
